affinity_group,category,description,eula,icon_uri,image_family,is_premium,label,language,location,logical_size_in_gb,media_link,name,os,os_state,pricing_detail_link,privacy_uri,published_date,publisher_name,recommended_vm_size,show_in_gui,small_icon_uri
,Public,CentOS 6.3 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.3 x64 v5.8.8.8,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.8,Linux,,,http://www.rightscale.com/privacy_policy.php,2012-01-25T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.3 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.3 x64 v5.8.8.9,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.3-x64-v5.8.8.9,Linux,,,http://www.rightscale.com/privacy_policy.php,2013-03-01T00:00:00Z,RightScale with Linux,,False,
,Public,,,,,False,RightImage-CentOS-6.4-x64-v13.4,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.4-x64-v13.4,Linux,,,,2013-04-19T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.4 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.4 x64 v13.5.0.1,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.4-x64-v13.5.0.1,Linux,,,http://www.rightscale.com/privacy_policy.php,2013-07-11T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.4 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.4 x64 v13.5.0.2,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.4-x64-v13.5.0.2,Linux,,,http://www.rightscale.com/privacy_policy.php,2013-07-22T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.5 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.5 x64 v13.5.2,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v13.5.2,Linux,,,http://www.rightscale.com/privacy_policy.php,2013-12-26T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.5 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage CentOS 6.5 x64 v13.5.3,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v13.5.3,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-04-17T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.5 with RightLink 6.1,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-CentOS-6.5-x64-v14.1,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v14.1,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-09-16T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.5 with RightLink 6.1,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-CentOS-6.5-x64-v14.1.3,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v14.1.3,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-10-06T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.5 with RightLink 6.2,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-CentOS-6.5-x64-v14.1.5.1,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.5-x64-v14.1.5.1,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-12-10T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.6 with RightLink 5.8,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage-CentOS-6.6-x64-v13.5.5,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.6-x64-v13.5.5,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-11-12T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 6.6 with RightLink 6.3,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-CentOS-6.6-x64-v14.2,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-6.6-x64-v14.2,Linux,,,http://www.rightscale.com/privacy_policy.php,2015-01-15T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 7.0 with RightLink 6.2,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-CentOS-7.0-x64-v14.1.5.1,,East Asia;Southeast Asia;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-7.0-x64-v14.1.5.1,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-12-10T00:00:00Z,RightScale with Linux,,False,
,Public,CentOS 7.0 with RightLink 6.3,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-CentOS-7.0-x64-v14.2,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-CentOS-7.0-x64-v14.2,Linux,,,http://www.rightscale.com/privacy_policy.php,2015-01-15T00:00:00Z,RightScale with Linux,,False,
,Public,,,,,False,RightImage-Ubuntu-12.04-x64-v13.4,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.4,Linux,,,,2013-04-19T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage Ubuntu 12.04 x64 v13.5.0.1,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.5.0.1,Linux,,,http://www.rightscale.com/privacy_policy.php,2013-07-11T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage Ubuntu 12.04 x64 v13.5.2,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.5.2,Linux,,,http://www.rightscale.com/privacy_policy.php,2013-12-26T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage Ubuntu 12.04 x64 v13.5.3,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.5.3,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-04-17T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 5.8,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage-Ubuntu-12.04-x64-v13.5.5,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v13.5.5,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-11-12T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 6.1,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-Ubuntu-12.04-x64-v14.1.1,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v14.1.1,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-09-16T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 6.1,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-Ubuntu-12.04-x64-v14.1.3,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v14.1.3,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-10-06T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 6.2,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-Ubuntu-12.04-x64-v14.1.5.1,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v14.1.5.1,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-12-10T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 6.3,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-Ubuntu-12.04-x64-v14.2,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v14.2,Linux,,,http://www.rightscale.com/privacy_policy.php,2015-01-15T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage Ubuntu 12.04 x64 v5.8.8,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8,Linux,,,http://www.rightscale.com/privacy_policy.php,2012-08-28T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage Ubuntu 12.04 x64 v5.8.8.5,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.5,Linux,,,http://www.rightscale.com/privacy_policy.php,2012-10-12T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage Ubuntu 12.04 x64 v5.8.8.7,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.7,Linux,,,http://www.rightscale.com/privacy_policy.php,2013-01-15T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 12.04 with RightLink 5.8.,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v13,False,RightImage Ubuntu 12.04 x64 v5.8.8.8,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-12.04-x64-v5.8.8.8,Linux,,,http://www.rightscale.com/privacy_policy.php,2013-01-25T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 14.04 with RightLink 6.1,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-Ubuntu-14.04-x64-v14.1,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.1,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-09-16T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 14.04 with RightLink 6.1,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-Ubuntu-14.04-x64-v14.1.3,,East Asia;Southeast Asia;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.1.3,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-10-06T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 14.04 with RightLink 6.2,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-Ubuntu-14.04-x64-v14.1.5.1,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.1.5.1,Linux,,,http://www.rightscale.com/privacy_policy.php,2014-12-10T00:00:00Z,RightScale with Linux,,False,
,Public,Ubuntu 14.04 with RightLink 6.3,http://support.rightscale.com/12-Guides/RightLink/RightLink_End_User_License_Agreeement,,RightScale Linux v14,False,RightImage-Ubuntu-14.04-x64-v14.2,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,10,,0b11de9248dd4d87b18621318e037d37__RightImage-Ubuntu-14.04-x64-v14.2,Linux,,,http://www.rightscale.com/privacy_policy.php,2015-01-15T00:00:00Z,RightScale with Linux,,False,
,Public,"[Java Platform|http://www.oracle.com/java|_blank], Standard Edition 6 (update 91) enables development of secure, portable, high-performance applications and includes a Java Development Kit (JDK), Java Runtime Environment (JRE), and tools for developing, debugging, and monitoring Java applications. WARNING:  These older versions of the JRE and JDK are provided to help developers debug issues in older systems. They are not recommended for use in production. Minimum recommended virtual machine size for this image is [Small|http://go.microsoft.com/fwlink/?LinkID=309169|_blank]. [Learn More|http://www.windowsazure.com/en-us/documentation/articles/virtual-machines-java-run-tomcat-application-server/|_blank]",http://go.microsoft.com/fwlink/?LinkId=321312,Java6_100.png,JDK 6 on Windows Server 2012,True,JDK 6 on Windows Server 2012,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,128,,0c0083a6d9a24f2d91800e52cad83950__JDK-1.6.0_91-150115-Win-GA,Windows,,http://go.microsoft.com/fwlink/?LinkId=386544,http://go.microsoft.com/fwlink/?LinkId=321694,2015-01-15T00:00:00Z,"Microsoft Open Technologies, Inc.",,True,Java6_45.png
,Public,"[Java Platform|http://www.oracle.com/java|_blank], Standard Edition 7 (update 60) enables development of secure, portable, high-performance applications and includes a Java Development Kit (JDK), Java Runtime Environment (JRE), and tools for developing, debugging, and monitoring Java applications. Minimum recommended virtual machine size for this image is [Small|http://go.microsoft.com/fwlink/?LinkID=309169|_blank]. [Learn More|http://www.windowsazure.com/en-us/documentation/articles/virtual-machines-java-run-tomcat-application-server|_blank]",http://go.microsoft.com/fwlink/?LinkId=321310,Java7_100.png,JDK 7 on Windows Server 2012,True,JDK 7 on Windows Server 2012,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,128,,0c0083a6d9a24f2d91800e52cad83950__JDK-1.7.0_60-0614-Win-GA,Windows,,http://go.microsoft.com/fwlink/?LinkID=386543,http://go.microsoft.com/fwlink/?LinkId=321701,2014-06-09T07:00:00Z,"Microsoft Open Technologies, Inc.",,True,Java7_45.png
,Public,"[Java Platform|http://www.oracle.com/java|_blank], Standard Edition 7 (update 60) enables development of secure, portable, high-performance applications and includes a Java Development Kit (JDK), Java Runtime Environment (JRE), and tools for developing, debugging, and monitoring Java applications. Minimum recommended virtual machine size for this image is [Small|http://go.microsoft.com/fwlink/?LinkID=309169|_blank]. [Learn More|http://www.windowsazure.com/en-us/documentation/articles/virtual-machines-java-run-tomcat-application-server|_blank]",http://go.microsoft.com/fwlink/?LinkId=321310,Java7_100.png,JDK 7 on Windows Server 2012,True,JDK 7 on Windows Server 2012,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,128,,0c0083a6d9a24f2d91800e52cad83950__JDK-1.7.0_60-0714-Win-GA,Windows,,http://go.microsoft.com/fwlink/?LinkID=386543,http://go.microsoft.com/fwlink/?LinkId=321701,2014-07-14T07:00:00Z,"Microsoft Open Technologies, Inc.",,True,Java7_45.png
